source,board_type,board_name,board_code,target,target_name,turnover_ratio,sw_board_code,sw_board_name
em,industry,专业服务,BK1043,2564,*ST天沃,0.0083,260200,专用设备
em,industry,专业服务,BK1043,2811,郑中设计,0.0227,620200,装修装饰Ⅱ
em,industry,专业服务,BK1043,2967,广电计量,0.0114,510100,综合Ⅱ
em,industry,专业服务,BK1043,3008,开普检测,0.0166,510100,综合Ⅱ
em,industry,专业服务,BK1043,3035,南网能源,0.0032,410100,电力
em,industry,专业服务,BK1043,300012,华测检测,0.0089,510100,综合Ⅱ
em,industry,专业服务,BK1043,300215,电科院,0.0201,260400,电气设备
em,industry,专业服务,BK1043,300384,三联虹普,0.0083,710200,计算机应用
em,industry,专业服务,BK1043,300416,苏试试验,0.0188,640300,仪器仪表
em,industry,专业服务,BK1043,300572,安车检测,0.0294,640300,仪器仪表
em,industry,专业服务,BK1043,300662,科锐国际,0.0371,460500,其他休闲服务
em,industry,专业服务,BK1043,300797,钢研纳克,0.0135,510100,综合Ⅱ
em,industry,专业服务,BK1043,300887,谱尼测试,0.0364,510100,综合Ⅱ
em,industry,专业服务,BK1043,300938,信测标准,0.0411,510100,综合Ⅱ
em,industry,专业服务,BK1043,300962,中金辐照,0.0059,510100,综合Ⅱ
em,industry,专业服务,BK1043,301115,建科股份,0.0102,460800,专业服务
em,industry,专业服务,BK1043,301166,优宁维,0.0325,370300,生物制品
em,industry,专业服务,BK1043,301169,零点有数,0.1171,460800,专业服务
em,industry,专业服务,BK1043,301228,实朴检测,0.1042,460800,专业服务
em,industry,专业服务,BK1043,301257,普蕊斯,0.0984,370600,医疗服务
em,industry,专业服务,BK1043,301289,国缆检测,0.0673,460800,专业服务
em,industry,专业服务,BK1043,301306,西测测试,0.1989,650500,军工电子Ⅱ
em,industry,专业服务,BK1043,301508,中机认检,0.1076,460800,专业服务
em,industry,专业服务,BK1043,600662,外服控股,0.02,420300,公交
em,industry,专业服务,BK1043,600861,北京人力,0.0113,450100,零售
em,industry,专业服务,BK1043,603060,国检集团,0.0016,510100,综合Ⅱ
em,industry,专业服务,BK1043,603183,建研院,0.0092,510100,综合Ⅱ
em,industry,专业服务,BK1043,603373,安邦护卫,0.1949,460800,专业服务
em,industry,专业服务,BK1043,603698,航天工程,0.0132,620400,专业工程
em,industry,专业服务,BK1043,603776,永安行,0.0692,280400,其他交运设备
em,industry,专业服务,BK1043,688133,泰坦科技,0.0205,220300,化学制品
em,industry,专业服务,BK1043,688293,奥浦迈,0.0073,370300,生物制品
em,industry,专业服务,BK1043,688334,西高院,0.0116,460800,专业服务
em,industry,专业服务,BK1043,831039,国义招标,0.0033,0,
em,industry,专业服务,BK1043,836208,青矩技术,0.0022,0,
em,industry,专业服务,BK1043,871753,天纺标,0.0714,0,
em,industry,专业服务,BK1043,873122,中纺标,0.0625,0,
em,industry,专用设备,BK0910,519,中兵红箭,0.0222,260100,通用机械
em,industry,专用设备,BK0910,584,*ST工智,0.0314,510100,综合Ⅱ
em,industry,专用设备,BK0910,852,石化机械,0.0056,260200,专用设备
em,industry,专用设备,BK0910,856,冀东装备,0.0131,250100,建筑材料
em,industry,专用设备,BK0910,1223,欧克科技,0.023,640700,自动化设备
em,industry,专用设备,BK0910,1239,永达股份,0.2691,640600,工程机械
em,industry,专用设备,BK0910,1256,炜冈科技,0.0154,640200,专用设备
em,industry,专用设备,BK0910,1332,锡装股份,0.0296,640200,专用设备
em,industry,专用设备,BK0910,1336,楚环科技,0.045,760200,环保设备Ⅱ
em,industry,专用设备,BK0910,1360,南矿集团,0.0441,640200,专用设备
em,industry,专用设备,BK0910,2006,精工科技,0.0065,260200,专用设备
em,industry,专用设备,BK0910,2009,天奇股份,0.0606,260200,专用设备
em,industry,专用设备,BK0910,2021,中捷资源,0.0214,260200,专用设备
em,industry,专用设备,BK0910,2031,巨轮智能,0.0416,260100,通用机械
em,industry,专用设备,BK0910,2073,软控股份,0.0169,470300,计算机应用
em,industry,专用设备,BK0910,2111,威海广泰,0.0269,310300,非汽车交运设备
em,industry,专用设备,BK0910,2184,海得控制,0.0133,260400,电气设备
em,industry,专用设备,BK0910,2209,达 意 隆,0.0148,260200,专用设备
em,industry,专用设备,BK0910,2278,神开股份,0.1224,260200,专用设备
em,industry,专用设备,BK0910,2334,英威腾,0.0353,260400,电气设备
em,industry,专用设备,BK0910,2337,赛象科技,0.019,260100,通用机械
em,industry,专用设备,BK0910,2353,杰瑞股份,0.0068,260200,专用设备
em,industry,专用设备,BK0910,2367,康力电梯,0.0087,260200,专用设备
em,industry,专用设备,BK0910,2430,杭氧股份,0.0062,260100,通用机械
em,industry,专用设备,BK0910,2483,润邦股份,0.0107,260200,专用设备
em,industry,专用设备,BK0910,2490,ST墨龙,0.0241,260200,专用设备
em,industry,专用设备,BK0910,2523,天桥起重,0.0093,260200,专用设备
em,industry,专用设备,BK0910,2526,山东矿机,0.0292,260200,专用设备
em,industry,专用设备,BK0910,2527,新时达,0.0232,260400,电气设备
em,industry,专用设备,BK0910,2529,海源复材,0.0184,260200,专用设备
em,industry,专用设备,BK0910,2535,林州重机,0.1099,260200,专用设备
em,industry,专用设备,BK0910,2595,豪迈科技,0.0025,260100,通用机械
em,industry,专用设备,BK0910,2611,东方精工,0.1667,260200,专用设备
em,industry,专用设备,BK0910,2651,利君股份,0.0141,260200,专用设备
em,industry,专用设备,BK0910,2667,威领股份,0.021,260200,专用设备
em,industry,专用设备,BK0910,2689,远大智能,0.0195,260200,专用设备
em,industry,专用设备,BK0910,2690,美亚光电,0.0052,260200,专用设备
em,industry,专用设备,BK0910,2691,冀凯股份,0.0196,260200,专用设备
em,industry,专用设备,BK0910,2698,博实股份,0.0242,260200,专用设备
em,industry,专用设备,BK0910,2730,电光科技,0.0149,640200,专用设备
em,industry,专用设备,BK0910,2757,南兴股份,0.01,640200,专用设备
em,industry,专用设备,BK0910,2774,快意电梯,0.0097,640200,专用设备
em,industry,专用设备,BK0910,2779,中坚科技,0.0097,640100,通用机械
em,industry,专用设备,BK0910,2786,银宝山新,0.0455,640100,通用机械
em,industry,专用设备,BK0910,2796,世嘉科技,0.0632,640100,通用机械
em,industry,专用设备,BK0910,2816,*ST和科,0.0025,640200,专用设备
em,industry,专用设备,BK0910,2833,弘亚数控,0.0096,640200,专用设备
em,industry,专用设备,BK0910,2837,英维克,0.0206,640200,专用设备
em,industry,专用设备,BK0910,2890,弘宇股份,0.0269,640200,专用设备
em,industry,专用设备,BK0910,2957,科瑞技术,0.008,640200,专用设备
em,industry,专用设备,BK0910,2960,青鸟消防,0.0074,640200,专用设备
em,industry,专用设备,BK0910,2975,博杰股份,0.0134,640200,专用设备
em,industry,专用设备,BK0910,2979,雷赛智能,0.1102,630200,电气自动化设备
em,industry,专用设备,BK0910,3036,泰坦股份,0.0083,640200,专用设备
em,industry,专用设备,BK0910,300004,南风股份,0.0212,260200,专用设备
em,industry,专用设备,BK0910,300048,合康新能,0.0071,260400,电气设备
em,industry,专用设备,BK0910,300097,智云股份,0.0376,260100,通用机械
em,industry,专用设备,BK0910,300099,尤洛卡,0.0106,260200,专用设备
em,industry,专用设备,BK0910,300103,达刚控股,0.0421,260200,专用设备
em,industry,专用设备,BK0910,300151,昌红科技,0.0139,260100,通用机械
em,industry,专用设备,BK0910,300173,福能东方,0.0107,260200,专用设备
em,industry,专用设备,BK0910,300195,长荣股份,0.017,260200,专用设备
em,industry,专用设备,BK0910,300276,三丰智能,0.017,260200,专用设备
em,industry,专用设备,BK0910,300281,金明精机,0.1674,260200,专用设备
em,industry,专用设备,BK0910,300293,蓝英装备,0.128,260200,专用设备
em,industry,专用设备,BK0910,300307,慈星股份,0.0164,260200,专用设备
em,industry,专用设备,BK0910,300382,斯莱克,0.0079,640200,专用设备
em,industry,专用设备,BK0910,300400,劲拓股份,0.0347,640100,通用机械
em,industry,专用设备,BK0910,300402,宝色股份,0.0197,640200,专用设备
em,industry,专用设备,BK0910,300411,金盾股份,0.2384,640200,专用设备
em,industry,专用设备,BK0910,300412,迦南科技,0.0546,370500,医疗器械
em,industry,专用设备,BK0910,300415,伊之密,0.0164,640200,专用设备
em,industry,专用设备,BK0910,300461,田中精机,0.1007,640200,专用设备
em,industry,专用设备,BK0910,300471,厚普股份,0.0125,640200,专用设备
em,industry,专用设备,BK0910,300472,新元科技,0.0235,640200,专用设备
em,industry,专用设备,BK0910,300480,光力科技,0.0173,640200,专用设备
em,industry,专用设备,BK0910,300484,蓝海华腾,0.2043,630200,电气自动化设备
em,industry,专用设备,BK0910,300486,东杰智能,0.0614,640200,专用设备
em,industry,专用设备,BK0910,300499,高澜股份,0.0599,640200,专用设备
em,industry,专用设备,BK0910,300509,新美星,0.0106,640200,专用设备
em,industry,专用设备,BK0910,300512,中亚股份,0.0048,640200,专用设备
em,industry,专用设备,BK0910,300521,爱司凯,0.0121,640200,专用设备
em,industry,专用设备,BK0910,300527,中船应急,0.0128,650200,航空装备Ⅱ
em,industry,专用设备,BK0910,300540,蜀道装备,0.0146,640100,通用机械
em,industry,专用设备,BK0910,300549,优德精密,0.0368,640100,通用机械
em,industry,专用设备,BK0910,300669,沪宁股份,0.002,640200,专用设备
em,industry,专用设备,BK0910,300757,罗博特科,0.047,640200,专用设备
em,industry,专用设备,BK0910,300802,矩子科技,0.006,640200,专用设备
em,industry,专用设备,BK0910,300818,耐普矿机,0.0111,640100,通用机械
em,industry,专用设备,BK0910,300823,建科智能,0.0481,640200,专用设备
em,industry,专用设备,BK0910,300833,浩洋股份,0.0067,640200,专用设备
em,industry,专用设备,BK0910,300836,佰奥智能,0.0178,640200,专用设备
em,industry,专用设备,BK0910,300837,浙矿股份,0.0085,640200,专用设备
em,industry,专用设备,BK0910,300865,大宏立,0.03,640200,专用设备
em,industry,专用设备,BK0910,300875,捷强装备,0.1468,650300,地面兵装Ⅱ
em,industry,专用设备,BK0910,300879,大叶股份,0.0256,640200,专用设备
em,industry,专用设备,BK0910,300902,国安达,0.0332,640200,专用设备
em,industry,专用设备,BK0910,300931,通用电梯,0.0446,640200,专用设备
em,industry,专用设备,BK0910,300950,德固特,0.0211,640200,专用设备
em,industry,专用设备,BK0910,301011,华立科技,0.0096,640200,专用设备
em,industry,专用设备,BK0910,301013,利和兴,0.0327,640200,专用设备
em,industry,专用设备,BK0910,301018,申菱环境,0.0212,640200,专用设备
em,industry,专用设备,BK0910,301030,仕净科技,0.0409,640200,专用设备
em,industry,专用设备,BK0910,301043,绿岛风,0.0279,640100,通用机械
em,industry,专用设备,BK0910,301053,远信工业,0.1067,640200,专用设备
em,industry,专用设备,BK0910,301056,森赫股份,0.0453,640200,专用设备
em,industry,专用设备,BK0910,301070,开勒股份,0.0563,640100,通用设备
em,industry,专用设备,BK0910,301083,百胜智能,0.0724,640200,专用设备
em,industry,专用设备,BK0910,301105,鸿铭股份,0.0204,640200,专用设备
em,industry,专用设备,BK0910,301112,信邦智能,0.4028,640700,自动化设备
em,industry,专用设备,BK0910,301128,强瑞技术,0.1854,640200,专用设备
em,industry,专用设备,BK0910,301138,华研精机,0.0438,640200,专用设备
em,industry,专用设备,BK0910,301158,德石股份,0.0161,640200,专用设备
em,industry,专用设备,BK0910,301199,迈赫股份,0.0612,640700,自动化设备
em,industry,专用设备,BK0910,301200,大族数控,0.0101,640200,专用设备
em,industry,专用设备,BK0910,301260,格力博,0.016,640200,专用设备
em,industry,专用设备,BK0910,301272,英华特,0.0318,640100,通用设备
em,industry,专用设备,BK0910,301312,智立方,0.0892,640700,自动化设备
em,industry,专用设备,BK0910,301338,凯格精机,0.1131,640200,专用设备
em,industry,专用设备,BK0910,301360,荣旗科技,0.0666,640100,通用设备
em,industry,专用设备,BK0910,301392,汇成真空,0.1453,640200,专用设备
em,industry,专用设备,BK0910,301468,博盈特焊,0.013,640100,通用设备
em,industry,专用设备,BK0910,301512,智信精密,0.037,640700,自动化设备
em,industry,专用设备,BK0910,301519,舜禹股份,0.0315,760100,环境治理
em,industry,专用设备,BK0910,301533,威马农机,0.0812,640200,专用设备
em,industry,专用设备,BK0910,301568,思泰克,0.0698,640700,自动化设备
em,industry,专用设备,BK0910,600169,太原重工,0.0036,260200,专用设备
em,industry,专用设备,BK0910,600184,光电股份,0.0105,250100,建筑材料
em,industry,专用设备,BK0910,600262,北方股份,0.1185,260200,专用设备
em,industry,专用设备,BK0910,600302,标准股份,0.0149,260200,专用设备
em,industry,专用设备,BK0910,600320,振华重工,0.0104,260200,专用设备
em,industry,专用设备,BK0910,600343,航天动力,0.0493,260200,专用设备
em,industry,专用设备,BK0910,600444,国机通用,0.0876,220500,塑料
em,industry,专用设备,BK0910,600499,科达制造,0.0073,260200,专用设备
em,industry,专用设备,BK0910,600501,航天晨光,0.1547,310100,汽车整车
em,industry,专用设备,BK0910,600520,文一科技,0.1174,260100,通用机械
em,industry,专用设备,BK0910,600545,卓郎智能,0.0185,250200,建筑装饰
em,industry,专用设备,BK0910,600560,金自天正,0.0085,260200,专用设备
em,industry,专用设备,BK0910,600579,克劳斯,0.1043,220600,橡胶
em,industry,专用设备,BK0910,600582,天地科技,0.0045,260200,专用设备
em,industry,专用设备,BK0910,600835,上海机电,0.0163,330100,白色家电
em,industry,专用设备,BK0910,600843,上工申贝,0.2742,260200,专用设备
em,industry,专用设备,BK0910,600894,广日股份,0.0077,230100,钢铁
em,industry,专用设备,BK0910,601038,一拖股份,0.01,260200,专用设备
em,industry,专用设备,BK0910,601106,中国一重,0.0029,260200,专用设备
em,industry,专用设备,BK0910,601399,国机重装,0.0031,260200,专用设备
em,industry,专用设备,BK0910,601606,长城军工,0.014,650300,地面兵装Ⅱ
em,industry,专用设备,BK0910,601608,中信重工,0.0048,260200,专用设备
em,industry,专用设备,BK0910,601798,蓝科高新,0.0304,260200,专用设备
em,industry,专用设备,BK0910,603011,合锻智能,0.0311,640100,通用机械
em,industry,专用设备,BK0910,603012,创力集团,0.0069,640200,专用设备
em,industry,专用设备,BK0910,603015,弘讯科技,0.0105,630200,电气自动化设备
em,industry,专用设备,BK0910,603025,大豪科技,0.0052,630200,电气自动化设备
